Category,Provider label,Provider ID,Endpoint,Name,Price model,USD unit price,USD base fee,Units per charge,Unit label,Verified tag,Listing URL,Public evidence URL,Licence status,Execution status
Finance,Nasdaq,nasdaq,/get_stock_earnings,Get earnings results,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_earnings,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Yahoo Finance,yahoo-finance,/get_historical_data,Get historical prices,PER_CALL,0.05,0,1,call,true,https://monid.ai/tools/yahoo-finance,https://api.monid.ai/public/v1/providers/yahoo-finance/endpoints/get_historical_data,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Yahoo Finance,yahoo-finance,/get_company_profile,Get company profile,PER_CALL,0.05,0,1,call,true,https://monid.ai/tools/yahoo-finance,https://api.monid.ai/public/v1/providers/yahoo-finance/endpoints/get_company_profile,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Nasdaq,nasdaq,/get_stock_screener,Run stock screener,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_screener,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,DefiLlama,defillama,/equities/v1/statements,/equities/v1/statements,PER_CALL,0.0006,0,1,call,true,https://monid.ai/tools/defillama,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/statements,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,MarketBeat,marketbeat,/get_financial_statements,Get financial statements,PER_CALL,0.02,0,1,call,true,https://monid.ai/tools/marketbeat,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_financial_statements,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Nasdaq,nasdaq,/get_earnings_calendar,Get earnings calendar,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_earnings_calendar,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Nasdaq,nasdaq,/get_stock_sec_filings,Get SEC filings,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_sec_filings,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,MarketBeat,marketbeat,/get_institutional_ownership,Get institutional ownership,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/marketbeat,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_institutional_ownership,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Nasdaq,nasdaq,/get_mutual_fund_quote,Get mutual fund quote,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_mutual_fund_quote,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Finviz,finviz,/get_screener_results,Run screener,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/finviz,https://api.monid.ai/public/v1/providers/finviz/endpoints/get_screener_results,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Nasdaq,nasdaq,/get_stock_dividend_history,Get dividend history,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_dividend_history,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,DefiLlama,defillama,/equities/v1/filings,/equities/v1/filings,PER_CALL,0.0006,0,1,call,true,https://monid.ai/tools/defillama,https://api.monid.ai/public/v1/providers/defillama/endpoints/equities/v1/filings,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Finviz,finviz,/get_insider_trading,Get insider trading,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/finviz,https://api.monid.ai/public/v1/providers/finviz/endpoints/get_insider_trading,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Finviz,finviz,/get_ticker_sectors_with_performance,get_ticker_sectors_with_performance,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/finviz,https://api.monid.ai/public/v1/providers/finviz/endpoints/get_ticker_sectors_with_performance,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Nasdaq,nasdaq,/get_stock_quote,Get stock quote,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_quote,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,SECForm4,secform4,/search,Search filings,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/secform4,https://api.monid.ai/public/v1/providers/secform4/endpoints/search,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,MarketBeat,marketbeat,/get_analyst_ratings,Get analyst ratings,PER_CALL,0.02,0,1,call,true,https://monid.ai/tools/marketbeat,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_analyst_ratings,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,MarketBeat,marketbeat,/get_insider_trades,Get insider trades,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/marketbeat,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_insider_trades,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Nasdaq,nasdaq,/search_symbols,Search ticker symbols,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/search_symbols,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,MarketBeat,marketbeat,/search_stocks,Search stocks,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/marketbeat,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/search_stocks,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,SECForm4,secform4,/get_13d_filings,Get 13D filings,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/secform4,https://api.monid.ai/public/v1/providers/secform4/endpoints/get_13d_filings,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,StockAnalysis,stockanalysis,/get_stock_list,List stocks,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/stockanalysis,https://api.monid.ai/public/v1/providers/stockanalysis/endpoints/get_stock_list,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Yahoo Finance,yahoo-finance,/get_stock_news,Get market news,PER_CALL,0.05,0,1,call,true,https://monid.ai/tools/yahoo-finance,https://api.monid.ai/public/v1/providers/yahoo-finance/endpoints/get_stock_news,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,Nasdaq,nasdaq,/get_market_indices,Get market indices,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/nasdaq,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_market_indices,Downstream customer rights not established by this listing,Public metadata only; no paid run
Finance,MarketBeat,marketbeat,/get_options_chain,Get options chain,PER_CALL,0.01,0,1,call,true,https://monid.ai/tools/marketbeat,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_options_chain,Downstream customer rights not established by this listing,Public metadata only; no paid run
